L_fuse,W_total,Stall_Speed,Max_Speed,ROC_Stall,SM_0,SM_dry,Result
4.52,19.5333706337638,50.6869900619077,212.432432432432,73.2795085426104,0.0651654215523378,0.00258498440120247,FAIL
4.521,19.5335398965167,50.6872096707261,212.432432432432,73.2787901051959,0.0652748154374804,0.00268936285929755,FAIL
4.522,19.5337091577112,50.6874292765711,212.432432432432,73.2780716489476,0.0653841997266286,0.00279372993837756,FAIL
4.523,19.5338784173477,50.6876488794433,212.432432432432,73.277353173899,0.0654935744202032,0.00289808563902061,FAIL
4.524,19.5340476754267,50.6878684793432,212.432432432432,73.2766346800838,0.0656029395186237,0.00300242996180211,FAIL
4.525,19.5342169319486,50.6880880762716,212.432432432432,73.2759161675355,0.0657122950223096,0.00310676290729839,FAIL
4.526,19.534386186914,50.6883076702292,212.432432432432,73.2751976362873,0.0658216409316807,0.00321108447608576,FAIL
4.527,19.5345554403233,50.6885272612166,212.432432432432,73.2744790863729,0.065930977247157,0.00331539466874009,FAIL
4.528,19.5347246921769,50.6887468492343,212.432432432432,73.2737605178254,0.0660403039691585,0.00341969348583848,FAIL
4.529,19.5348939424754,50.6889664342832,212.432432432432,73.2730419306783,0.0661496210981032,0.00352398092795503,FAIL
4.53,19.5350631912193,50.6891860163639,212.432432432432,73.2723233249648,0.0662589286344125,0.00362825699566727,FAIL
4.531,19.5352324384089,50.6894055954769,212.432432432432,73.2716047007182,0.0663682265785046,0.00373252168955018,FAIL
4.532,19.5354016840448,50.689625171623,212.432432432432,73.2708860579715,0.0664775149307991,0.00383677501017954,FAIL
4.533,19.5355709281275,50.6898447448028,212.432432432432,73.270167396758,0.0665867936917154,0.00394101695813065,FAIL
4.534,19.5357401706574,50.690064315017,212.432432432432,73.2694487171107,0.0666960628616722,0.00404524753397906,FAIL
4.535,19.535909411635,50.6902838822661,212.432432432432,73.2687300190627,0.0668053224410891,0.00414946673830008,FAIL
4.536,19.5360786510608,50.690503446551,212.432432432432,73.2680113026469,0.0669145724303851,0.00425367457166947,FAIL
4.537,19.5362478889353,50.6907230078722,212.432432432432,73.2672925678964,0.0670238128299792,0.00435787103466168,FAIL
4.538,19.5364171252588,50.6909425662303,212.432432432432,73.266573814844,0.0671330436402906,0.00446205612785266,FAIL
4.539,19.536586360032,50.6911621216261,212.432432432432,73.2658550435226,0.0672422648617368,0.00456622985181598,FAIL
4.54,19.5367555932552,50.6913816740601,212.432432432432,73.265136253965,0.0673514764947383,0.00467039220712817,FAIL
